"","svspp","pynam","result","total","percentages"
"1",75,"EUPHAUSIIDAE",7774.7,33368.9,23.2992
"2",75,"AMMODYTES SP",7187.3,33368.9,21.5389
"3",75,"CRUSTACEA SHRIMP",5232.8,33368.9,15.6817
"4",75,"MERLUCCIUS BILINEARIS",4148.9,33368.9,12.4334
"5",75,"FISH",2582.6,33368.9,7.7395
"6",75,"CLUPEIDAE",885,33368.9,2.6522
"7",75,"DECAPODA SHRIMP",663.7,33368.9,1.989
"8",75,"PEPRILUS TRIACANTHUS",611.5,33368.9,1.8325
"9",75,"CLUPEA HARENGUS",455,33368.9,1.3635
"10",75,"PANDALIDAE",424.1,33368.9,1.2709
"11",75,"ANIMAL REMAINS",388.3,33368.9,1.1637
"12",75,"GADIDAE",380,33368.9,1.1388
"13",75,"MYCTOPHIDAE",349.2,33368.9,1.0465
"14",75,"HYPERIIDAE",278.1,33368.9,0.8334
"15",75,"AMPHIPODA",247.3,33368.9,0.7411
"16",75,"GAMMARIDEA",214.1,33368.9,0.6416
"17",75,"SCOMBRIDAE",205,33368.9,0.6143
"18",75,"ALOSA PSEUDOHARENGUS",187.5,33368.9,0.5619
"19",75,"MYSIDACEA",165.1,33368.9,0.4948
"20",75,"CEPHALOPODA",159,33368.9,0.4765
"21",75,"MAUROLICUS WEITZMANI",109,33368.9,0.3267
"22",75,"CRUSTACEA",107.8,33368.9,0.3231
"23",75,"LOLIGO SP",96,33368.9,0.2877
"24",75,"ANIMAL EGGS",63.8,33368.9,0.1912
"25",75,"POLYCHAETA",50,33368.9,0.1498
"26",75,"ANARHICHAS LUPUS",45,33368.9,0.1349
"27",75,"FISH EGGS",40,33368.9,0.1199
"28",75,"ILLEX SP",39.5,33368.9,0.1184
"29",75,"CTENOPHORA",35.3,33368.9,0.1058
"30",75,"NEMATODA",34.6,33368.9,0.1037
"31",75,"BRYOZOA",30,33368.9,0.0899
"32",75,"PLACOPECTEN MAGELLANICUS VISCERA",30,33368.9,0.0899
"33",75,"CRANGON SEPTEMSPINOSA",23,33368.9,0.0689
"34",75,"DECAPODA",15,33368.9,0.045
"35",75,"MELANOGRAMMUS AEGLEFINUS",15,33368.9,0.045
"36",75,"CAPRELLIDAE",10.9,33368.9,0.0327
"37",75,"MOLLUSCA",10,33368.9,0.03
"38",75,"ISOPODA",8.4,33368.9,0.0252
"39",75,"OCTOPODA",7.5,33368.9,0.0225
"40",75,"DECAPODA CRAB",7,33368.9,0.021
"41",75,"MELANOSTIGMA ATLANTICUM",7,33368.9,0.021
"42",75,"ROCK",6.3,33368.9,0.0189
"43",75,"PECTINIDAE",6,33368.9,0.018
"44",75,"PANDALUS BOREALIS",5.2,33368.9,0.0156
"45",75,"CLUPEIDAE LARVAE",5.1,33368.9,0.0153
"46",75,"ECHINODERMATA",3,33368.9,0.009
"47",75,"MOLLUSCA SHELL",3,33368.9,0.009
"48",75,"SEPIOLIDAE",3,33368.9,0.009
"49",75,"SAND",2.4,33368.9,0.0072
"50",75,"CLIONE LIMACINA",2,33368.9,0.006
"51",75,"LEPOPHIDIUM PROFUNDORUM",2,33368.9,0.006
"52",75,"TRIGLOPS MURRAYI",1.6,33368.9,0.0048
"53",75,"OPHIUROIDEA",1.3,33368.9,0.0039
"54",75,"CEPHALOPODA BEAKS",1,33368.9,0.003
"55",75,"HYDROZOA",1,33368.9,0.003
"56",75,"FISH LARVAE",0.9,33368.9,0.0027
"57",75,"THECOSOMATA",0.5,33368.9,0.0015
"58",75,"BLENNIIDAE",0.3,33368.9,9e-04
"59",75,"COTTIDAE",0.2,33368.9,6e-04
"60",75,"CUMACEA",0.1,33368.9,3e-04
"61",75,"EMPTY",0,33368.9,0
"62",76,"FISH",27113.8,87948.9,30.829
"63",76,"MERLUCCIUS BILINEARIS",24846.4,87948.9,28.251
"64",76,"ARGENTINIDAE",5434,87948.9,6.1786
"65",76,"CRUSTACEA SHRIMP",3093.6,87948.9,3.5175
"66",76,"CLUPEIDAE",3026.2,87948.9,3.4409
"67",76,"EUPHAUSIIDAE",2887.4,87948.9,3.283
"68",76,"ANIMAL REMAINS",2760.9,87948.9,3.1392
"69",76,"PANDALIDAE",1918.3,87948.9,2.1812
"70",76,"ILLEX SP",1902.2,87948.9,2.1628
"71",76,"CLUPEA HARENGUS",1874,87948.9,2.1308
"72",76,"DECAPODA SHRIMP",1566.9,87948.9,1.7816
"73",76,"GADIDAE",1106.5,87948.9,1.2581
"74",76,"CEPHALOPODA",1076.2,87948.9,1.2237
"75",76,"UROPHYCIS CHUSS",863.5,87948.9,0.9818
"76",76,"SEBASTES FASCIATUS",645,87948.9,0.7334
"77",76,"ANGUILLIFORMES",596.6,87948.9,0.6783
"78",76,"OCTOPODA",560.9,87948.9,0.6378
"79",76,"MYXINIDAE",536.8,87948.9,0.6104
"80",76,"AMMODYTES SP",533.9,87948.9,0.6071
"81",76,"SCOMBER SCOMBRUS",500,87948.9,0.5685
"82",76,"SCOMBRIDAE",350,87948.9,0.398
"83",76,"ARGENTINA SILUS",340,87948.9,0.3866
"84",76,"UROPHYCIS TENUIS",287.5,87948.9,0.3269
"85",76,"ALOSA AESTIVALIS",280,87948.9,0.3184
"86",76,"GADUS MORHUA",250,87948.9,0.2843
"87",76,"LOLIGO SP",235,87948.9,0.2672
"88",76,"ENCHELYOPUS CIMBRIUS",214.4,87948.9,0.2438
"89",76,"MYSIDACEA",201.5,87948.9,0.2291
"90",76,"MELANOGRAMMUS AEGLEFINUS",200,87948.9,0.2274
"91",76,"MERLUCCIUS ALBIDUS",200,87948.9,0.2274
"92",76,"DECAPODA CRAB",182.9,87948.9,0.208
"93",76,"OPHIDIIDAE",176,87948.9,0.2001
"94",76,"CRYPTACANTHODES MACULATUS",160,87948.9,0.1819
"95",76,"MACROZOARCES AMERICANUS",151,87948.9,0.1717
"96",76,"CRANGON SEPTEMSPINOSA",141.7,87948.9,0.1611
"97",76,"PANDALUS BOREALIS",140,87948.9,0.1592
"98",76,"PRIONOTUS CAROLINUS",125,87948.9,0.1421
"99",76,"PEPRILUS TRIACANTHUS",120,87948.9,0.1364
"100",76,"DECAPODA",106.7,87948.9,0.1213
"101",76,"POLYCHAETA",98.9,87948.9,0.1125
"102",76,"AMPHIPODA",84.1,87948.9,0.0956
"103",76,"GLYPTOCEPHALUS CYNOGLOSSUS",84,87948.9,0.0955
"104",76,"CRUSTACEA",73,87948.9,0.083
"105",76,"PLEURONECTIFORMES",69.8,87948.9,0.0794
"106",76,"FISH SCALES",54.3,87948.9,0.0617
"107",76,"ISOPODA",51.7,87948.9,0.0588
"108",76,"LYCENCHELYS VERRILLI",49.3,87948.9,0.0561
"109",76,"GALATHEIDAE",47,87948.9,0.0534
"110",76,"TRIGLOPS MURRAYI",47,87948.9,0.0534
"111",76,"GAMMARIDEA",46.2,87948.9,0.0525
"112",76,"LEPOPHIDIUM PROFUNDORUM",42.4,87948.9,0.0482
"113",76,"SEPIOLIDAE",42.3,87948.9,0.0481
"114",76,"CANCER BOREALIS",38.8,87948.9,0.0441
"115",76,"CANCER IRRORATUS",38.5,87948.9,0.0438
"116",76,"PAGURIDAE",31,87948.9,0.0352
"117",76,"MACROURIDAE",28,87948.9,0.0318
"118",76,"TAUTOGOLABRUS ADSPERSUS",25,87948.9,0.0284
"119",76,"ROCK",21.5,87948.9,0.0244
"120",76,"HIPPOGLOSSOIDES PLATESSOIDES",20.5,87948.9,0.0233
"121",76,"OPHIUROIDEA",20.5,87948.9,0.0233
"122",76,"CANCER SP",19.8,87948.9,0.0225
"123",76,"APHRODITA HASTATA",19.4,87948.9,0.0221
"124",76,"SCOMBERESOX SAURUS",18,87948.9,0.0205
"125",76,"CITHARICHTHYS ARCTIFRONS",14.6,87948.9,0.0166
"126",76,"HOMARUS AMERICANUS",12.5,87948.9,0.0142
"127",76,"ULVARIA SUBBIFURCATA",11.5,87948.9,0.0131
