YEAR,NESPP3,NESPP4,SPECIES_ITIS,SEX,AGE,LENGTH
1976,269,2691,164727,0,5,72
1976,269,2691,164727,0,6,75
1976,269,2691,164727,0,6,78
1976,269,2691,164727,0,7,79
1976,269,2691,164727,0,6,80
1976,269,2691,164727,0,7,81
1976,269,2691,164727,0,8,83
1976,269,2691,164727,0,7,83
1976,269,2691,164727,0,8,84
1976,269,2691,164727,0,7,85
1976,269,2691,164727,0,8,85
1976,269,2691,164727,0,13,86
1976,269,2691,164727,0,6,86
1976,269,2691,164727,0,13,87
1976,269,2691,164727,0,12,88
1976,269,2691,164727,0,15,91
1976,269,2691,164727,0,2,43
1976,269,2691,164727,0,3,47
1976,269,2691,164727,0,4,51
1976,269,2691,164727,0,4,56
1976,269,2691,164727,0,4,57
1976,269,2691,164727,0,4,60
1976,269,2691,164727,0,5,63
1976,269,2691,164727,0,4,65
1976,269,2691,164727,0,5,65
1976,269,2691,164727,0,5,68
1976,269,2691,164727,0,5,69
1976,269,2691,164727,0,4,70
1976,269,2691,164727,0,6,73
1976,269,2691,164727,0,6,76
1976,269,2691,164727,0,6,80
1976,269,2691,164727,0,5,81
1976,269,2691,164727,0,8,85
1976,269,2691,164727,0,8,87
1976,269,2691,164727,0,3,56
1976,269,2691,164727,0,4,60
1976,269,2691,164727,0,5,64
1976,269,2691,164727,0,5,65
1976,269,2691,164727,0,4,66
1976,269,2691,164727,0,5,66
1976,269,2691,164727,0,5,74
1976,269,2691,164727,0,6,76
1976,269,2691,164727,0,6,79
1976,269,2691,164727,0,7,81
1976,269,2691,164727,0,7,82
1976,269,2691,164727,0,8,83
1976,269,2691,164727,0,6,85
1976,269,2691,164727,0,8,85
1976,269,2691,164727,0,7,85
1976,269,2691,164727,0,8,86
1976,269,2691,164727,0,7,90
1976,269,2691,164727,0,10,91
1977,269,2695,164727,0,5,57
1977,269,2695,164727,0,4,59
1977,269,2695,164727,0,5,59
1977,269,2695,164727,0,5,60
1977,269,2695,164727,0,5,61
1977,269,2695,164727,0,5,64
1977,269,2695,164727,0,5,65
1977,269,2695,164727,0,6,72
1977,269,2695,164727,0,7,78
1977,269,2695,164727,0,7,84
1977,269,2695,164727,0,5,85
1977,269,2695,164727,0,9,87
1977,269,2695,164727,0,15,89
1977,269,2695,164727,0,16,103
1977,269,2691,164727,0,5,63
1977,269,2691,164727,0,5,65
1977,269,2691,164727,0,6,67
1977,269,2691,164727,0,5,67
1977,269,2691,164727,0,5,69
1977,269,2691,164727,0,6,71
1977,269,2691,164727,0,6,72
1977,269,2691,164727,0,7,74
1977,269,2691,164727,0,6,75
1977,269,2691,164727,0,6,78
1977,269,2691,164727,0,7,79
1977,269,2691,164727,0,9,80
1977,269,2691,164727,0,9,82
1977,269,2691,164727,0,7,83
1977,269,2691,164727,0,8,86
1977,269,2691,164727,0,10,87
1977,269,2691,164727,0,9,88
1977,269,2691,164727,0,8,89
1977,269,2691,164727,0,12,90
1977,269,2691,164727,0,10,91
1977,269,2691,164727,0,8,94
1977,269,2691,164727,0,12,95
1977,269,2691,164727,0,9,97
1977,269,2691,164727,0,12,98
1977,269,2691,164727,0,13,102
1977,269,2691,164727,0,6,66
1977,269,2691,164727,0,6,69
1977,269,2691,164727,0,6,71
1977,269,2691,164727,0,8,71
1977,269,2691,164727,0,6,72
1977,269,2691,164727,0,7,73
1977,269,2691,164727,0,5,73
1977,269,2691,164727,0,8,73
1977,269,2691,164727,0,6,74
1977,269,2691,164727,0,7,76
1977,269,2691,164727,0,7,78
1977,269,2691,164727,0,7,80
1977,269,2691,164727,0,8,82
1977,269,2691,164727,0,10,82
