LENGTH,AGE,SEX
43,5,2
44,NA,1
53,5,2
55,5,1
47,4,1
69,7,1
55,NA,0
41,NA,0
47,4,1
25,2,1
27,2,2
49,4,1
63,6,2
54,5,2
60,6,2
53,5,2
51,5,1
31,2,0
57,5,1
25,2,2
27,2,1
22,2,1
22,2,2
62,5,1
28,2,1
37,3,2
25,2,1
50,5,2
51,4,1
25,2,1
74,7,1
24,1,1
20,1,1
69,6,2
58,5,1
19,1,2
18,1,1
71,7,2
62,6,2
34,3,1
48,3,2
74,7,1
77,7,2
82,8,2
75,7,2
89,10,1
84,8,2
81,8,1
54,5,2
54,4,1
54,5,2
56,5,1
41,3,2
42,3,2
68,6,2
58,5,2
68,6,1
57,5,1
79,7,1
61,5,1
39,3,2
70,6,1
69,7,2
70,7,2
75,8,1
76,7,1
58,6,2
67,6,2
54,5,1
60,6,2
65,6,2
63,6,1
62,6,2
101,12,2
69,6,1
65,6,2
66,6,1
55,5,2
70,6,2
55,6,2
70,6,1
58,5,1
87,8,2
68,5,2
71,7,1
65,6,1
40,3,2
55,5,2
55,5,2
39,3,1
35,3,1
39,3,1
21,1,2
23,1,0
21,2,0
23,2,0
23,2,1
21,1,2
26,2,2
22,2,2
25,2,1
29,2,2
19,1,1
19,1,1
18,1,2
17,1,1
17,1,2
19,1,1
25,2,0
43,3,2
44,NA,2
21,1,1
18,1,1
24,2,1
20,NA,1
17,1,1
19,2,1
18,1,2
22,2,1
24,2,1
18,1,0
27,3,2
25,2,2
17,1,1
25,2,1
24,2,2
21,1,1
18,1,1
23,2,1
20,1,2
19,1,2
19,1,2
16,1,2
61,4,2
30,2,1
66,5,2
34,2,1
58,4,2
48,3,2
26,1,2
67,5,1
73,5,1
67,5,1
55,5,2
55,4,2
38,3,2
52,4,1
36,3,1
38,3,2
30,2,2
33,2,2
43,3,2
33,2,2
34,2,1
33,2,2
41,3,2
29,2,1
35,2,1
42,2,1
29,2,2
51,4,1
52,4,2
52,3,1
53,4,1
41,3,1
41,2,2
38,2,1
54,5,1
37,2,2
43,3,1
64,5,2
50,4,2
48,3,2
39,3,1
48,3,2
73,6,1
66,5,2
33,2,1
75,5,1
86,7,2
77,6,2
31,2,1
31,2,1
40,3,2
45,3,2
86,7,2
72,7,2
31,2,2
32,2,1
42,3,2
29,2,2
32,2,2
22,1,1
39,3,1
28,1,1
68,5,1
94,7,2
48,4,1
75,6,1
69,6,2
46,3,2
42,3,1
33,2,2
78,6,1
49,4,2
88,7,2
91,8,2
33,2,2
45,3,1
46,3,2
61,5,1
55,4,1
53,4,2
42,3,2
42,3,1
28,2,2
49,3,1
55,4,1
32,2,1
47,3,1
59,5,1
32,2,1
47,4,2
51,4,1
31,2,1
27,1,2
29,1,2
36,2,2
29,2,1
19,0,1
18,0,2
64,5,2
67,6,2
66,6,2
35,2,1
33,2,1
29,2,1
32,2,2
31,2,2
25,1,1
47,3,1
80,6,2
55,4,1
47,3,2
59,5,2
34,2,1
56,4,2
62,4,2
71,5,2
57,4,1
45,3,1
35,2,2
63,5,1
52,4,1
53,4,1
45,4,1
54,5,1
57,4,2
49,3,2
63,4,2
65,4,1
34,2,2
34,2,2
50,3,2
38,2,2
42,3,2
50,3,2
53,4,1
57,4,1
49,3,1
36,2,1
43,3,2
37,2,2
44,3,2
37,2,1
14,NA,0
17,0,0
54,4,1
52,4,1
78,6,2
74,6,1
25,1,2
28,1,1
54,3,2
40,2,1
29,2,2
50,4,2
48,3,2
54,4,2
101,10,1
60,4,2
36,2,0
49,4,1
48,3,2
47,3,1
55,4,1
13,NA,1
61,NA,2
31,2,2
45,3,2
31,2,1
80,6,2
42,4,2
33,2,2
50,4,1
73,5,2
73,6,1
54,4,1
55,4,2
24,1,1
