LENGTH,AGE,SEX
15,NA,2
11,NA,1
13,NA,1
17,NA,1
12,NA,1
6,NA,1
19,NA,2
17,NA,2
16,NA,2
13,NA,2
15,NA,2
9,NA,0
8,NA,0
7,NA,0
9,NA,0
8,NA,0
7,NA,0
56,NA,0
8,NA,0
7,NA,0
12,NA,0
11,NA,0
9,NA,1
16,NA,0
7,NA,1
8,NA,0
33,NA,1
29,NA,2
6,NA,0
8,NA,0
6,NA,0
10,NA,0
8,NA,0
13,NA,1
13,NA,1
37,NA,2
46,NA,2
33,NA,2
28,NA,1
7,NA,0
39,NA,2
41,NA,2
33,NA,1
25,NA,1
23,NA,1
24,NA,1
27,NA,1
21,NA,2
26,NA,1
31,NA,2
28,NA,2
29,NA,2
35,NA,2
32,NA,1
40,NA,2
22,NA,2
51,NA,2
48,NA,2
44,NA,2
30,NA,2
33,NA,2
34,NA,2
38,NA,2
41,NA,1
31,NA,2
36,NA,2
25,NA,1
28,NA,2
32,NA,1
29,NA,2
35,NA,2
37,NA,1
24,NA,2
27,NA,2
36,NA,2
26,NA,1
20,NA,1
16,NA,2
11,NA,0
31,NA,1
25,NA,1
39,NA,1
38,NA,2
27,NA,1
26,NA,1
28,NA,1
23,NA,1
14,NA,2
17,NA,1
34,NA,2
25,NA,2
11,NA,0
9,NA,0
35,NA,2
8,NA,0
7,NA,0
50,NA,2
39,NA,2
47,NA,2
44,NA,2
36,NA,1
35,NA,2
43,NA,2
34,NA,1
42,NA,2
32,NA,1
27,NA,2
37,NA,2
40,NA,2
29,NA,1
31,NA,2
24,NA,1
23,NA,1
22,NA,1
21,NA,1
25,NA,2
32,NA,2
30,NA,1
37,NA,2
38,NA,2
34,NA,2
27,NA,1
25,NA,1
28,NA,2
23,NA,1
24,NA,1
22,NA,1
31,NA,1
34,NA,2
32,NA,2
24,NA,2
14,NA,2
25,NA,2
28,NA,2
19,NA,1
22,NA,2
10,NA,0
16,NA,1
18,NA,2
30,NA,1
25,NA,2
29,NA,2
26,NA,1
21,NA,1
23,NA,1
19,NA,2
19,NA,2
28,NA,1
37,NA,2
31,NA,1
30,NA,1
27,NA,1
25,NA,1
21,NA,1
25,NA,2
22,NA,1
23,NA,1
24,NA,2
19,NA,1
26,NA,2
10,NA,0
15,NA,1
18,NA,1
17,NA,1
11,NA,2
14,NA,0
35,NA,2
33,NA,2
28,NA,2
29,NA,2
27,NA,2
31,NA,2
25,NA,2
36,NA,2
29,NA,1
32,NA,2
26,NA,1
35,NA,2
34,NA,2
24,NA,1
33,NA,2
36,NA,2
33,NA,1
44,NA,2
35,NA,2
