LENGTH,AGE,SEX
26,NA,1
61,5,2
41,3,1
48,3,2
51,4,2
40,4,1
15,1,2
17,1,1
18,1,1
12,1,1
45,3,2
49,4,2
45,4,1
49,3,2
54,4,2
51,4,2
38,3,2
36,2,2
35,2,2
27,2,1
71,6,2
66,5,2
69,5,2
47,3,1
58,5,1
70,6,1
52,4,1
66,5,2
45,3,1
56,4,2
57,4,2
55,4,2
45,3,1
58,4,2
60,5,1
44,3,1
42,3,1
37,3,1
36,3,1
69,6,2
62,5,2
36,3,2
33,2,2
29,2,1
32,2,1
30,2,1
53,4,2
108,11,2
44,3,1
35,3,1
44,3,2
44,3,2
45,3,2
41,3,1
42,3,2
29,2,1
41,3,1
28,2,2
53,4,2
45,3,1
60,4,2
62,5,2
51,4,1
44,4,1
48,4,1
48,3,1
35,3,1
51,4,2
45,3,2
41,3,1
53,4,2
62,4,2
55,4,2
50,3,1
47,3,1
47,3,1
35,3,1
51,3,2
56,4,2
55,4,2
44,3,1
58,5,1
31,NA,1
43,3,2
77,6,2
45,3,1
56,4,2
46,3,2
65,5,1
48,3,1
41,3,1
76,NA,1
45,3,1
67,5,2
52,4,2
47,3,1
46,NA,2
46,3,1
60,4,2
76,6,2
68,5,2
90,8,2
68,5,2
63,5,1
52,4,2
45,3,1
70,5,2
37,3,1
28,2,0
54,4,2
51,4,2
46,4,1
45,4,1
50,4,2
55,4,2
41,NA,2
53,4,2
69,6,2
58,5,2
68,5,2
64,5,2
45,3,2
36,3,1
26,2,1
61,4,2
49,NA,1
63,4,2
49,3,2
52,4,2
60,4,2
60,4,2
46,3,2
40,3,1
59,4,2
54,4,2
64,5,1
42,3,1
83,8,2
46,3,2
67,5,2
46,3,1
50,3,2
27,2,1
28,2,1
28,2,1
25,2,1
40,3,1
46,4,2
43,3,1
36,2,2
37,2,2
33,2,1
39,3,1
40,3,1
41,3,1
57,4,2
38,3,1
54,4,2
73,6,2
76,6,2
55,4,2
63,5,2
70,6,2
67,5,2
52,4,2
51,4,2
47,4,2
46,3,1
50,4,1
55,4,1
72,6,2
57,4,2
63,4,2
65,5,2
58,4,2
47,4,1
43,3,1
28,2,2
37,3,1
36,3,1
39,3,1
40,3,2
36,3,1
40,3,1
37,3,2
51,4,2
42,3,1
44,3,2
41,3,1
61,4,2
52,4,2
47,3,1
66,5,2
50,3,2
53,4,2
42,3,1
43,3,1
49,4,1
47,3,1
45,3,1
48,3,1
42,4,1
45,3,1
49,3,1
59,4,2
43,3,1
43,3,1
51,4,2
53,4,2
61,5,2
50,3,1
43,3,2
23,2,0
50,3,2
48,3,2
53,4,2
47,3,2
40,3,1
59,5,2
65,5,2
73,6,2
70,6,2
50,4,1
52,4,2
33,3,1
53,4,2
46,3,2
48,4,1
44,3,2
47,3,2
34,3,1
31,NA,2
43,3,1
38,3,1
46,3,1
48,3,1
52,4,2
43,3,2
25,2,1
28,2,1
27,NA,1
42,3,1
50,3,1
40,3,1
93,9,2
67,5,2
47,3,2
45,3,1
44,3,1
69,6,1
46,4,2
83,7,2
66,5,2
40,3,1
52,4,2
54,4,2
48,3,1
47,4,1
44,4,2
34,NA,1
43,NA,2
42,3,2
33,NA,2
26,NA,2
23,NA,2
32,2,2
27,2,2
25,NA,1
44,3,1
58,4,2
44,3,1
40,3,2
41,3,1
46,3,2
49,4,1
50,3,2
59,5,2
64,5,2
47,3,1
48,4,2
56,4,2
46,3,2
50,4,2
28,NA,2
54,4,2
44,NA,2
45,3,1
53,4,2
49,4,2
48,3,2
45,4,2
52,4,2
50,4,2
59,4,2
61,5,2
48,4,1
44,3,1
100,10,2
61,5,2
68,5,2
46,3,2
50,4,2
57,4,2
55,4,2
52,NA,2
44,3,1
52,4,2
52,4,2
32,2,2
33,2,2
36,3,2
39,2,1
35,2,2
46,4,2
54,4,2
47,3,2
41,3,1
79,6,2
60,5,2
71,6,1
51,4,1
32,2,2
32,2,2
31,2,1
67,5,2
55,4,2
53,4,2
41,3,1
41,3,1
43,3,1
42,3,1
57,4,2
