"","LENGTH","AGE","INDWT"
"1","43","5",".782"
"2","44",NA,".714"
"3","53","5","1.33"
"4","55","5","1.86"
"5","47","4","1.004"
"6","69","7","3.25"
"7","55",NA,"1.656"
"8","41",NA,".593"
"9","47","4","1.01"
"10","25","2",".145"
"11","27","2",".165"
"12","49","4","1.226"
"13","63","6","2.292"
"14","54","5","1.58"
"15","60","6","2.13"
"16","53","5","1.556"
"17","51","5","1.29"
"18","31","2",".26"
"19","57","5","1.716"
"20","25","2",".141"
"21","27","2",".154"
"22","22","2",".09"
"23","22","2",".094"
"24","62","5","2.51"
"25","28","2",".175"
"26","37","3",".445"
"27","25","2",".132"
"28","50","5","1.178"
"29","51","4","1.28"
"30","25","2",".137"
"31","74","7","3.748"
"32","24","1",".103"
"33","20","1",".071"
"34","69","6","3.202"
"35","58","5","1.818"
"36","19","1",".06"
"37","18","1",".047"
"38","71","7","3.454"
"39","62","6","2.318"
"40","34","3",".372"
"41","48","3","1.034"
"42","74","7","3.922"
"43","77","7","4.558"
"44","82","8","5.024"
"45","75","7","4.018"
"46","89","10","6.95"
"47","84","8","5.84"
"48","81","8","5.41"
"49","54","5","1.436"
"50","54","4","1.578"
"51","54","5","1.622"
"52","56","5","1.754"
"53","41","3",".619"
"54","42","3",".646"
"55","68","6","2.99"
"56","58","5","2.244"
"57","68","6","3.476"
"58","57","5","1.893"
"59","79","7","4.468"
"60","61","5","2.278"
"61","39","3",".52"
"62","70","6","3.18"
"63","69","7","3.38"
"64","70","7","3.13"
"65","75","8","4.12"
"66","76","7","4.46"
"67","58","6","1.82"
"68","67","6","2.97"
"69","54","5","1.428"
"70","60","6","2.11"
"71","65","6","2.724"
"72","63","6","2.288"
"73","62","6","2.344"
"74","101","12","9.07"
"75","69","6","3.394"
"76","65","6","2.604"
"77","66","6","2.69"
"78","55","5","1.422"
"79","70","6","3.31"
"80","55","6","1.624"
"81","70","6","3.15"
"82","58","5","2.022"
"83","87","8","7.1"
"84","68","5","3.148"
"85","71","7","3.838"
"86","65","6","3.01"
"87","40","3",".643"
"88","55","5","1.782"
"89","55","5","1.882"
"90","39","3",".494"
"91","35","3",".39"
"92","39","3",".627"
"93","21","1",".089"
"94","23","1",".098"
"95","21","2",".083"
"96","23","2",".094"
"97","23","2",".101"
"98","21","1",".082"
"99","26","2",".162"
"100","22","2",".109"
"101","25","2",".128"
"102","29","2",".212"
"103","19","1",".052"
"104","19","1",".054"
"105","18","1",".043"
"106","17","1",".04"
"107","17","1",".038"
"108","19","1",".043"
"109","25","2",".124"
"110","43","3",".695"
"111","44",NA,".803"
"112","21","1",".062"
"113","18","1",".034"
"114","24","2",".1"
"115","20",NA,".046"
"116","17","1",".025"
"117","19","2",".036"
"118","18","1",".032"
"119","22","2",".079"
"120","24","2",".09"
"121","18","1",".042"
"122","27","3",".186"
"123","25","2",".125"
"124","17","1",".039"
"125","25","2",".139"
"126","24","2",".096"
"127","21","1",".066"
"128","18","1",".049"
"129","23","2",".097"
"130","20","1",".066"
"131","19","1",".05"
"132","19","1",".062"
"133","16","1",".03"
"134","61","4","2.686"
"135","30","2",".269"
"136","66","5","2.58"
"137","34","2",".417"
"138","58","4","1.567"
"139","48","3","1.085"
"140","26","1",".176"
"141","67","5","4.108"
"142","73","5","4.15"
"143","67","5","3.384"
"144","55","5","1.785"
"145","55","4","1.958"
"146","38","3",".626"
"147","52","4","1.688"
"148","36","3",".556"
"149","38","3",".664"
"150","30","2",".304"
"151","33","2",".382"
"152","43","3",".96"
"153","33","2",".378"
"154","34","2",".442"
"155","33","2",".384"
"156","41","3",".79"
"157","29","2",".284"
"158","35","2",".49"
"159","42","2",".48"
"160","29","2",".296"
"161","51","4","1.38"
"162","52","4","1.428"
"163","52","3","1.395"
"164","53","4","1.555"
"165","41","3",".74"
"166","41","2",".797"
"167","38","2",".569"
"168","54","5","1.794"
"169","37","2",".626"
"170","43","3",".808"
"171","64","5","2.38"
"172","50","4","1.216"
"173","48","3","1.014"
"174","39","3",".624"
"175","48","3",".719"
"176","73","6","3.508"
"177","66","5","3.486"
"178","33","2",".362"
"179","75","5","5.192"
"180","86","7","7.19"
"181","77","6","6.28"
"182","31","2",".296"
"183","31","2",".304"
"184","40","3",".718"
"185","45","3",".996"
"186","86","7","7.89"
"187","72","7","4.4"
"188","31","2",".281"
"189","32","2",".359"
"190","42","3",".77"
"191","29","2",".254"
"192","32","2",".284"
"193","22","1",".099"
"194","39","3",".672"
"195","28","1",".183"
"196","68","5","2.988"
"197","94","7","9.68"
"198","48","4","1.128"
"199","75","6","4.95"
"200","69","6","3.25"
"201","46","3",".937"
"202","42","3",".793"
"203","33","2",".352"
"204","78","6","5.35"
"205","49","4","1.314"
"206","88","7","7.96"
"207","91","8","7.86"
"208","33","2",".34"
"209","45","3",".893"
"210","46","3","1.13"
"211","61","5","2.605"
"212","55","4","1.647"
"213","53","4","1.632"
"214","42","3",".781"
"215","42","3",".83"
"216","28","2",".234"
"217","49","3","1.392"
"218","55","4","1.906"
"219","32","2",".34"
"220","47","3","1.13"
"221","59","5","2.088"
"222","32","2",".352"
"223","47","4","1.116"
"224","51","4","1.644"
"225","31","2",".31"
"226","27","1",".208"
"227","29","1",".205"
"228","36","2",".432"
"229","29","2",".21"
"230","19","0",".064"
"231","18","0",".048"
"232","64","5","2.944"
"233","67","6","3.418"
"234","66","6","3.202"
"235","35","2",".418"
"236","33","2",".36"
"237","29","2",".274"
"238","32","2",".358"
"239","31","2",".326"
"240","25","1",".166"
"241","47","3",".798"
"242","80","6","5.366"
"243","55","4","1.536"
"244","47","3","1.068"
"245","59","5","2.19"
"246","34","2",".387"
"247","56","4","1.7"
"248","62","4","2.274"
"249","71","5","3.362"
"250","57","4","1.88"
"251","45","3",".873"
"252","35","2",".445"
"253","63","5","2.458"
"254","52","4","1.418"
"255","53","4","1.444"
"256","45","4",".974"
"257","54","5","1.478"
"258","57","4","1.976"
"259","49","3","1.1"
"260","63","4","2.618"
"261","65","4","3.056"
"262","34","2",".427"
"263","34","2",".39"
"264","50","3","1.396"
"265","38","2",".638"
"266","42","3",".919"
"267","50","3","1.268"
"268","53","4","1.62"
"269","57","4","2.032"
"270","49","3","1.246"
"271","36","2",".463"
"272","43","3",".819"
"273","37","2",".57"
"274","44","3",".802"
"275","37","2",".522"
"276","14",NA,".027"
"277","17","0",".043"
"278","54","4","1.633"
"279","52","4","1.577"
"280","78","6","5.43"
"281","74","6","4.68"
"282","25","1",".152"
"283","28","1",".177"
"284","54","3","1.086"
"285","40","2",".59"
"286","29","2",".238"
"287","50","4","1.086"
"288","48","3",".817"
"289","54","4","1.57"
"290","101","10","12.02"
"291","60","4","2.338"
"292","36","2",".501"
"293","49","4","1.3"
"294","48","3","1.138"
"295","47","3","1.106"
"296","55","4","1.284"
"297","13",NA,".019"
"298","61",NA,"2.43"
"299","31","2",".374"
"300","45","3",".967"
"301","31","2",".335"
"302","80","6","6.1"
"303","42","4",".732"
"304","33","2",".341"
"305","50","4","1.317"
"306","73","5","4.57"
"307","73","6","4.354"
"308","54","4","1.884"
"309","55","4","1.826"
"310","24","1",".113"
"311","59","4","2.243"
"312","48","3","1.164"
"313","49","3","1.306"
"314","69","6","3.52"
"315","64","4","2.894"
"316","55","4","1.719"
"317","43","3",".734"
"318","33","2",".333"
"319","33","2",".367"
"320","42","3",".785"
"321","52","4","1.276"
"322","59","4","1.75"
"323","67","4","3.312"
"324","45","3",".996"
"325","33","2",".429"
"326","49","4","1.252"
"327","41",NA,".782"
"328","44","3",".825"
"329","49","4","1.144"
"330","40","3",".689"
"331","42","3",".757"
"332","50","4","1.104"
"333","23","1",".101"
"334","68","6","3.054"
"335","50","4","1.38"
"336","71","6","2.928"
"337","51","4","1.2"
"338","42","3",".632"
"339","58","4","2.05"
"340","57","5","1.692"
"341","48","4","1.106"
"342","60","5","2.114"
"343","63","5","2.318"
"344","51","4","1.348"
"345","58","6","1.926"
"346","57","6","1.736"
"347","54","5","1.546"
"348","57",NA,"1.739"
"349","61","6","2.093"
"350","50","5","1.252"
"351","50","4","1.326"
"352","45","4",".91"
"353","45","4",".976"
"354","38","4",".542"
"355","60","5","2.446"
"356","76","5","4.58"
"357","75","6","4.18"
"358","30","3",".235"
"359","31","3",".277"
"360","38","4",".498"
"361","23","1",".104"
"362","20","1",".076"
"363","22","1",".098"
"364","22","1",".085"
"365","18","1",".054"
"366","18","1",".05"
"367","26","2",".174"
"368","18","1",".05"
"369","27","2",".181"
"370","25","2",".134"
"371","35","3",".414"
"372","34","3",".297"
"373","28","2",".161"
"374","37","3",".521"
"375","37","3",".567"
"376","33","3",".395"
"377","34","3",".415"
"378","31","3",".319"
"379","28","2",".183"
"380","28","2",".208"
"381","21","1",".08"
"382","21","1",".07"
"383","20","1",".068"
"384","19","1",".065"
"385","18","1",".05"
"386","18","1",".049"
"387","28","2",".225"
"388","25","2",".133"
"389","40","4",".647"
"390","41","4",".687"
"391","43","4",".864"
"392","56","5","1.754"
"393","37","4",".563"
"394","53","5","1.552"
"395","44","4","1.014"
"396","39","4",".638"
"397","35","4",".453"
"398","36","4",".493"
"399","58","5","1.884"
"400","43","4",".797"
"401","47","4","1.188"
"402","37","3",".545"
"403","46","4","1.018"
"404","91","8","7.06"
"405","35","4",".493"
"406","45","4",".956"
"407","32","4",".286"
"408","30","3",".246"
"409","31","2",".298"
"410","79","6","4.89"
"411","70","6","3.228"
"412","88","7","6.87"
"413","74","6","4.094"
"414","69","5","3.21"
"415","78","6","4.45"
"416","64","4","3.218"
"417","35","3",".427"
"418","54",NA,"1.657"
"419","57","5","2.034"
"420","16","1",".036"
"421","18","1",".048"
"422","18","1",".046"
"423","14","1",".023"
"424","17","1",".038"
"425","16","1",".029"
"426","63","5","2.472"
"427","60","5","1.932"
"428","81","6","5.17"
"429","53","4","1.51"
"430","76","6","4.22"
"431","85","6","6.6"
"432","79","8","4.83"
"433","83","7","5.28"
"434","82","7","5.79"
"435","20","1",".062"
"436","17","1",".043"
"437","71","7","3.828"
"438","16","1",".03"
"439","15","1",".025"
"440","15","1",".024"
"441","14","1",".022"
"442","18","1",".042"
"443","16","1",".03"
"444","65","5","2.802"
"445","41","4",".701"
"446","19","1",".055"
"447","19","1",".053"
"448","84","7","5.38"
"449","29","2",".255"
"450","73","6","3.74"
"451","66","5","2.677"
"452","49","5","1.078"
"453","51","5","1.359"
"454","34","3",".404"
"455","22","1",".109"
"456","21","1",".086"
"457","18",NA,".061"
"458","22","1",".085"
"459","23","1",".109"
"460","20","1",".074"
"461","16","1",".073"
"462","21","1",".085"
"463","77","6","4.35"
"464","81","6","5.65"
"465","30","2",".286"
"466","67","6","2.93"
"467","68","7","2.884"
"468","65","6","2.494"
"469","33","2",".338"
"470","61","4","2.353"
"471","54","4","1.672"
"472","67","4","3.386"
"473","75","5","4.624"
"474","32","2",".357"
"475","15","0",".023"
"476","57","4","1.743"
"477","63","4","2.481"
"478","34","2",".405"
"479","43","3",".757"
"480","34","2",".382"
"481","28","2",".22"
"482","25","1",".143"
"483","27","2",".177"
"484","15","0",".025"
"485","25","1",".138"
"486","30","1",".311"
"487","63","5","2.657"
"488","38","2",".615"
"489","62","4","2.966"
"490","46","3","1.052"
"491","53","4","2.022"
"492","53","4","1.634"
"493","42","3",".752"
"494","47","3",".946"
"495","48","3","1.228"
"496","40","3",".687"
"497","55","4","1.946"
"498","33","2",".382"
"499","50","4","1.702"
"500","44","3",".965"
"501","56","4","1.898"
"502","60","4","2.097"
"503","51","3","1.364"
"504","49","4","1.255"
"505","52","3","1.668"
"506","55","4","1.544"
"507","45","3",".919"
"508","49","3","1.255"
"509","48","4","1.13"
"510","42","3",".87"
"511","55","5","1.453"
"512","61","5","2.82"
"513","58","5","2.015"
"514","56","5","2.303"
"515","42","3",".912"
"516","41","3",".76"
"517","40",NA,".728"
"518","39","2",".693"
"519","69","5","3.55"
"520","39","3",".631"
"521","49","4","1.451"
"522","49","3","1.303"
"523","76","6","4.48"
"524","44","3","1.032"
"525","76","6","4.552"
"526","51","3","1.502"
"527","54","4","1.396"
"528","48","4","1.338"
"529","55","4","1.648"
"530","67","5","2.996"
"531","67","5","3.414"
"532","62","5","2.622"
"533","57","5","1.976"
"534","79","6","5.73"
"535","65","6","3.566"
"536","70","6","4.68"
"537","74","5","3.428"
"538","65","6","3.714"
"539","61","5","2.252"
"540","72","6","4.434"
"541","73","6","5.442"
"542","60","5","2.434"
"543","78","6","5.608"
"544","62","5","2.76"
"545","70","5","3.8"
"546","65","5","3.09"
"547","67","5","3.18"
"548","48","4","1.204"
