"","LENGTH","AGE","INDWT"
"1","26",NA,".111"
"2","61","5","2.146"
"3","41","3",".368"
"4","48","3","1.102"
"5","51","4",".941"
"6","40","4",".451"
"7","15","1",".016"
"8","17","1",".026"
"9","18","1",".028"
"10","12","1",".008"
"11","45","3",".803"
"12","49","4",".976"
"13","45","4",".564"
"14","49","3",".833"
"15","54","4","1.134"
"16","51","4",".916"
"17","38","3",".361"
"18","36","2",".28"
"19","35","2",".231"
"20","27","2",".106"
"21","71","6","2.762"
"22","66","5","2.436"
"23","69","5","2.49"
"24","47","3",".785"
"25","58","5","1.496"
"26","70","6","3.478"
"27","52","4","1.282"
"28","66","5","2.364"
"29","45","3",".729"
"30","56","4","1.422"
"31","57","4","1.52"
"32","55","4","1.234"
"33","45","3",".672"
"34","58","4","1.324"
"35","60","5","1.804"
"36","44","3",".672"
"37","42","3",".547"
"38","37","3",".379"
"39","36","3",".336"
"40","69","6","2.77"
"41","62","5","1.724"
"42","36","3",".288"
"43","33","2",".218"
"44","29","2",".125"
"45","32","2",".208"
"46","30","2",".157"
"47","53","4","1.226"
"48","108","11","12.67"
"49","44","3",".508"
"50","35","3",".268"
"51","44","3",".559"
"52","44","3",".529"
"53","45","3",".568"
"54","41","3",".533"
"55","42","3",".467"
"56","29","2",".157"
"57","41","3",".495"
"58","28","2",".119"
"59","53","4","1.006"
"60","45","3",".668"
"61","60","4","1.496"
"62","62","5","1.822"
"63","51","4",".787"
"64","44","4",".476"
"65","48","4",".734"
"66","48","3",".802"
"67","35","3",".242"
"68","51","4",".914"
"69","45","3",".607"
"70","41","3",".408"
"71","53","4",".992"
"72","62","4","1.718"
"73","55","4","1.306"
"74","50","3",".967"
"75","47","3",".761"
"76","47","3",".712"
"77","35","3",".251"
"78","51","3",".928"
"79","56","4","1.2"
"80","55","4","1.086"
"81","44","3",".621"
"82","58","5","1.618"
"83","31",NA,".19"
"84","43","3",".536"
"85","77","6","3.556"
"86","45","3",".68"
"87","56","4","1.138"
"88","46","3",".703"
"89","65","5","2.098"
"90","48","3",".774"
"91","41","3",".527"
"92","76",NA,"4.23"
"93","45","3",".633"
"94","67","5","2.39"
"95","52","4",".984"
"96","47","3",".705"
"97","46",NA,".666"
"98","46","3",".677"
"99","60","4","1.692"
"100","76","6","3.258"
"101","68","5","2.562"
"102","90","8","7.1"
"103","68","5","2.48"
"104","63","5","2.202"
"105","52","4",".962"
"106","45","3",".611"
"107","70","5","2.628"
"108","37","3",".331"
"109","28","2",".126"
"110","54","4","1.084"
"111","51","4",".867"
"112","46","4",".692"
"113","45","4",".624"
"114","50","4",".86"
"115","55","4","1.234"
"116","41",NA,".407"
"117","53","4",".971"
"118","69","6","2.65"
"119","58","5","1.496"
"120","68","5","2.514"
"121","64","5","2.1"
"122","45","3",".614"
"123","36","3",".279"
"124","26","2",".099"
"125","61","4","2.076"
"126","49",NA,".828"
"127","63","4","1.684"
"128","49","3",".861"
"129","52","4",".964"
"130","60","4","1.394"
"131","60","4","1.676"
"132","46","3",".633"
"133","40","3",".435"
"134","59","4","1.38"
"135","54","4","1.048"
"136","64","5","2.2"
"137","42","3",".519"
"138","83","8","5.424"
"139","46","3",".724"
"140","67","5","2.39"
"141","46","3",".71"
"142","50","3",".867"
"143","27","2",".13"
"144","28","2",".121"
"145","28","2",".127"
"146","25","2",".09"
"147","40","3",".369"
"148","46","4",".739"
"149","43","3",".539"
"150","36","2",".278"
"151","37","2",".313"
"152","33","2",".346"
"153","39","3",".398"
"154","40","3",".432"
"155","41","3",".464"
"156","57","4","1.214"
"157","38","3",".457"
"158","54","4","1.066"
"159","73","6","3.102"
"160","76","6","3.968"
"161","55","4","1.128"
"162","63","5","1.992"
"163","70","6","2.66"
"164","67","5","2.248"
"165","52","4","1.032"
"166","51","4",".918"
"167","47","4",".684"
"168","46","3",".616"
"169","50","4",".833"
"170","55","4","1.118"
"171","72","6","3.204"
"172","57","4","1.288"
